"date_time","device_uid","voltage_1n","voltage_2n","voltage_3n","voltage_n","voltage_12","voltage_23","voltage_31","voltage_l","current_1","current_2","current_3","current","kw_1","kw_2","kw_3","kvar_1","kvar_2","kvar_3","kva_1","kva_2","kva_3","pf_1","pf_2","pf_3","pf","freq","kw","kvar","kva","imp_kwh","exp_kwh","kwh","imp_kvarh","exp_kvarh","kvarh","kvah","thd_v1n","thd_v2n","thd_v3n","thd_v12","thd_v23","thd_v31","thd_i1","thd_i2","thd_i3","max_kw","min_kw","max_kvar","min_kvar","max_int_v1n","max_int_v2n","max_int_v3n","max_int_v12","max_int_v23","max_int_v31","max_kva","max_int_i1","max_int_i2","max_int_i3","run_h","on_h","ser_no"
"2024-05-04T07:29:32.000Z","SL02202361",6144,6164,6143,6168,10710.66,10647,10639,10646,55.42,53.7,55.21,54.73,338.64,330.2,336.89,39.33,38.59,39.32,336.69,329.4,333.54,0.99,0.99,0.99,0.99,50.06,976.24,114.99,990.49,694173.69,363.88,698368,120334.63,9802.13,130080,722088,2.19,1.8,2.51,1.7,2.51,2.09,10.59,10.41,10.9,1354.72,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.17,244.78,0
"2024-05-04T07:29:31.000Z","SL02202361",6144,6164,6143,6168,10710.66,10647,10639,10646,55.42,53.7,55.21,54.73,338.64,330.2,336.89,39.33,38.59,39.32,336.69,329.4,333.54,0.99,0.99,0.99,0.99,50.06,976.24,114.99,1003.62,694173.69,363.88,698368,120334.63,9802.13,130080,722088,2.19,1.8,2.51,1.7,2.51,2.09,10.59,10.41,10.9,1359.39,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.17,244.78,0
"2024-05-04T07:28:51.000Z","SL02202361",6144,6207,6152,6148,10750.66,10671,10681,10734,54.29,53.19,54.62,54.08,332.27,327.72,332.46,39.66,39.32,40.56,337.21,328.33,335.03,1,0.99,0.99,0.99,50.03,995.98,119.71,1003.62,694173.69,363.87,698368,120333.13,9802,130080,722080,2.39,2.01,3.3,2.01,2.6,2.6,11.09,10.41,10.52,1359.39,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.14,244.78,0
"2024-05-04T07:28:47.000Z","SL02202361",6144,6207,6152,6148,10750.66,10671,10681,10734,54.29,53.19,54.62,54.08,332.27,327.72,332.46,39.66,39.32,40.56,337.21,328.33,335.03,1,0.99,0.99,0.99,50.03,995.98,119.71,1007.08,694173.69,363.87,698368,120333.13,9802,130080,722080,2.39,2.01,3.3,2.01,2.6,2.6,11.09,10.41,10.52,1355.05,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.14,244.78,0
"2024-05-04T07:28:07.000Z","SL02202361",6112,6171,6118,6114,10680.66,10611,10619,10676,54.78,53.26,54.93,54.54,335.07,327.55,332.84,40.25,39.47,40.62,337.19,329.59,337.61,0.99,0.99,0.99,0.99,50.04,996.38,120.26,1007.08,694173.69,363.87,698368,120331.63,9801.75,130080,722072,3.39,2.51,4.19,3.4,3.31,2.89,10.79,10.3,10.4,1355.05,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.12,244.77,0
"2024-05-04T07:28:06.000Z","SL02202361",6112,6171,6118,6114,10680.66,10611,10619,10676,54.78,53.26,54.93,54.54,335.07,327.55,332.84,40.25,39.47,40.62,337.19,329.59,337.61,0.99,0.99,0.99,0.99,50.04,996.38,120.26,1007.79,694173.69,363.87,698368,120331.63,9801.75,130080,722072,3.39,2.51,4.19,3.4,3.31,2.89,10.79,10.3,10.4,1355.17,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.12,244.77,0
"2024-05-04T07:27:02.000Z","SL02202361",6016,6027,6002,6030,10494.66,10398,10400,10394,63.27,62.79,63.34,63.03,368.37,362.5,366.92,63.7,60,61.52,371.47,368.3,368.34,0.98,0.99,0.99,0.99,50.03,1089.57,126.71,1097.95,694173.69,363.86,698368,120330.25,9801.63,130080,722056,3.3,2.3,4.09,2.9,3.1,3.3,13.01,10.19,10.19,1354.14,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.1,244.77,0
"2024-05-04T07:27:00.000Z","SL02202361",6016,6027,6002,6030,10494.66,10398,10400,10394,63.27,62.79,63.34,63.03,368.37,362.5,366.92,63.7,60,61.52,371.47,368.3,368.34,0.98,0.99,0.99,0.99,50.03,1089.57,126.71,1097.95,694173.69,363.86,698368,120330.25,9801.63,130080,722056,3.3,2.3,4.09,2.9,3.1,3.3,13.01,10.19,9.26,1354.14,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.1,244.77,0
"2024-05-04T07:26:20.000Z","SL02202361",6016,6024,6002,6027,10439.32,10407,10406,10401,60.99,60.22,61.08,60.89,365.01,363.55,362.09,43.7,41.49,42.59,366.64,361.09,366.27,0.99,0.99,0.99,0.99,50.06,1089.82,128.41,1101.07,694173.69,363.86,698368,120328.63,9801.38,130080,722048,3,2.39,3.6,2.9,3.51,2.69,9.43,10.21,9.26,1355.43,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.07,244.77,0
"2024-05-04T07:26:18.000Z","SL02202361",6016,6024,6002,6027,10439.32,10407,10406,10401,60.99,60.22,61.08,60.89,365.01,363.55,362.09,43.7,41.49,42.59,366.64,361.09,366.27,0.99,0.99,0.99,0.99,50.06,1089.82,128.41,1101.07,694173.69,363.86,698368,120328.63,9801.38,130080,722048,3,2.39,3.6,2.9,3.51,2.69,9.43,10.21,10.07,1355.43,-33.11,246.69,-139.88,7249.01,7397,7259,12578,12481,12587,1367.52,87.09,86.71,87.83,1394.07,244.77,0
